,run,epoch,train_loss,dev_loss,train_ppl,dev_ppl,epoch_duration,run duration,lr,num_epochs
0,1,1,4.137348588307699,3.264560616534689,62.63652587054383,26.1686104097012,17m 26s,17m 26s,0.005,10
1,1,2,2.4875899120613383,2.7010899315709653,12.032242385322975,14.895958455653973,15m 53s,34m 34s,0.005,10
2,1,3,2.0704894012875026,2.519792650056922,7.9287024856929715,12.42601986192588,15m 21s,50m 48s,0.005,10
3,1,4,1.85975071589152,2.4710012855737107,6.42213563551212,11.83429042553521,16m 47s,68m 44s,0.005,10
4,1,5,1.7401956443433408,2.407871528812077,5.6984581847295965,11.110288032267205,16m 33s,86m 26s,0.005,10
5,1,6,1.6024964747605501,2.4162455978600876,4.965412992288398,11.20371699571307,15m 26s,102m 55s,0.005,10
6,1,7,1.4958762839988426,2.4301134244255396,4.463245910718256,11.360170527745494,14m 23s,118m 13s,0.005,10
7,1,8,1.401703906942297,2.4497802438943284,4.062115540294224,11.585800389073245,14m 35s,133m 41s,0.005,10
8,1,9,1.341581290298038,2.4625743135162024,3.825087299045946,11.734982212255565,13m 57s,148m 30s,0.005,10
9,1,10,1.3047388094442862,2.4423288702964783,3.6867260299183897,11.499791103560964,14m 20s,163m 43s,0.005,10
