,run,epoch,loss,epoch_duration,run duration,lr,num_epochs
0,1,1,5.5175115633353915,57.73962092399597,57.7409884929657,5e-05,20
1,1,2,2.6008839032632842,53.190852642059326,110.93226790428162,5e-05,20
2,1,3,2.1860121454266337,54.05415916442871,164.98682737350464,5e-05,20
3,1,4,1.8577160852418528,53.82463026046753,218.8118827342987,5e-05,20
4,1,5,1.6228758345404974,54.33705925941467,273.1493716239929,5e-05,20
5,1,6,1.459835655826459,53.871885776519775,327.02166080474854,5e-05,20
6,1,7,1.3442477879764365,57.388919830322266,384.4109733104706,5e-05,20
7,1,8,1.2503256098829585,61.65084362030029,446.06219840049744,5e-05,20
8,1,9,1.1825271982083219,59.21812629699707,505.2807369232178,5e-05,20
9,1,10,1.116117107353622,57.00083374977112,562.2820587158203,5e-05,20
10,1,11,1.0672214665858866,56.8817834854126,619.1642098426819,5e-05,20
11,1,12,1.0236672000061693,55.254257678985596,674.4188632965088,5e-05,20
12,1,13,0.990631753163372,56.789799213409424,731.209056854248,5e-05,20
13,1,14,0.95328332794656,54.270204067230225,785.4796872138977,5e-05,20
14,1,15,0.9315314151400285,54.52193522453308,840.0021421909332,5e-05,20
15,1,16,0.9067463448150552,56.11395192146301,896.1165294647217,5e-05,20
16,1,17,0.8889393737847856,57.41300058364868,953.5299291610718,5e-05,20
17,1,18,0.8811519943552909,58.198933601379395,1011.7294473648071,5e-05,20
18,1,19,0.8692685592946389,59.80408835411072,1071.5339431762695,5e-05,20
19,1,20,0.8615505300837455,61.639496088027954,1133.1738424301147,5e-05,20
